M_size , R_level ,, W , D , W/D , D-W , T_attendu, T_simul , T_Sequentiel , T_simul - T_attendu  , T_Simul - T_Sequentiel 
1000,1,,1010000000,130000000, 7.76923076923077 ,-880000000,332000000,257750000,200000000,-74250000,57750000
1000,2,,1026000000,21875000, 46.9028571428571 ,-1004125000,227075000,214562500,200000000,-12512500,14562500
1000,3,,1054000000,8515625, 123.77247706422 ,-1045484375,219315625,222890625,200000000,3575000,22890625
1000,4,,1131027840,6891927, 164.109085891362 ,-1124135913,233097495,243458324,200000000,10360829,43458324
1000,5,,1285434752,6695128, 191.995545417504 ,-1278739624, 263782078.4 ,284331851,200000000, 20549772.6 ,84331851
1500,1,,3397500000,433125000, 7.84415584415584 ,-2964375000,1112625000,861750000,675000000,-250875000,186750000
1500,2,,3433500000,66796875, 51.4021052631579 ,-3366703125,753496875,710578125,675000000,-42918750,35578125
1500,3,,3523908512,21414052, 164.5605657444 ,-3502494460, 726195754.4 ,732282010,675000000, 6086255.60000002 ,57282010
1500,4,,3641533344,15776684, 230.817410299908 ,-3625756660, 744083352.8 ,766827015,675000000, 22743662.2 ,91827015
1500,5,,3867734944,15094103, 256.241456945139 ,-3852640841, 788641091.8 ,832011865,675000000, 43370773.2 ,157011865
2000,1,,8040000000,1020000000, 7.88235294117647 ,-7020000000,2628000000,2031000000,1600000000,-597000000,431000000
2000,2,,8104000000,150000000, 54.0266666666667 ,-7954000000,1770800000,1671250000,1600000000,-99550000,71250000
2000,3,,8216000000,41875000, 196.202985074627 ,-8174125000,1685075000,1692562500,1600000000,7487500,92562500
2000,4,,8424000000,28515625, 295.41698630137 ,-8395484375,1713315625,1756343750,1600000000,43028125,156343750
2000,5,,9023965696,26891927, 335.564115431371 ,-8997073769, 1831685066.2 ,1912521687,1600000000, 80836620.8 ,312521687
2500,1,,15687500000,1984375000, 7.90551181102362 ,-13703125000,5121875000,3954687500,3125000000,-1167187500,829687500
2500,2,,15787500000,283203125, 55.7462068965517 ,-15504296875,3440703125,3243750000,3125000000,-196953125,118750000
2500,3,,16038180512,71686177, 223.727658290384 ,-15966494335, 3279322279.4 ,3283278804,3125000000, 3956524.5999999 ,158278804
2500,4,,16517269664,45384753, 363.938736517967 ,-16471884911, 3348838685.8 ,3410465130,3125000000, 61626444.1999998 ,285465130
2500,5,,17461168288,42132719, 414.432505246101 ,-17419035569, 3534366376.6 ,3658096573,3125000000, 123730196.4 ,533096573
3000,1,,27090000000,3420000000, 7.92105263157895 ,-23670000000,8838000000,6822000000,5400000000,-2016000000,1422000000
3000,2,,27234000000,478125000, 56.96 ,-26755875000,5924925000,5589000000,5400000000,-335925000,189000000
3000,3,,27486000000,111796875, 245.856603773585 ,-27374203125,5608996875,5606156250,5400000000,-2840625,206156250
3000,4,,28173075840,66414052, 424.203538130756 ,-28106661788,5701029220,5790220100,5400000000,89190880,390220100
3000,5,,29077882240,60776684, 478.438116827828 ,-29017105556,5876353132,6053991398,5400000000,177638266,653991398
3500,1,,42997500000,5420625000, 7.93220338983051 ,-37576875000,14020125000,10816750000,8575000000,-3203375000,2241750000
3500,2,,43193500000,746484375, 57.8625641025641 ,-42447015625,9385184375,8852156250,8575000000,-533028125,277156250
3500,3,,43684452512,164427052, 265.676796978638 ,-43520025460, 8901317554.4 ,8887384624,8575000000, -13932930.3999996 ,312384624
3500,4,,44322909344,91862059, 482.494185591899 ,-44231047285, 8956443927.8 ,9069755109,8575000000, 113311181.200001 ,494755109
3500,5,,46153989280,82931600, 556.530795016616 ,-46071057680,9313729456,9555427738,8575000000,241698282,980427738
4000,1,,64160000000,8080000000, 7.94059405940594 ,-56080000000,20912000000,16124000000,12800000000,-4788000000,3324000000
4000,2,,64416000000,1100000000, 58.56 ,-63316000000,13983200000,13181000000,12800000000,-802200000,381000000
4000,3,,64864000000,230000000, 282.017391304348 ,-64634000000,13202800000,13173750000,12800000000,-29050000,373750000
4000,4,,65696000000,121875000, 539.044102564103 ,-65574125000,13261075000,13419125000,12800000000,158050000,619125000
4000,5,,67296000000,108515625, 620.150323974082 ,-67187484375,13567715625,13886937500,12800000000,319221875,1086937500
4500,1,,91327500000,11491875000, 7.94713656387665 ,-79835625000,29757375000,22938187500,18225000000,-6819187500,4713187500
4500,2,,91651500000,1550390625, 59.1151020408163 ,-90101109375,19880690625,18752765625,18225000000,-1127925000,527765625
4500,3,,92462724512,311355427, 296.968404896312 ,-92151369085, 18803900329.4 ,18739701234,18225000000, -64199095.4000015 ,514701234
4500,4,,94009077664,156918128, 599.096349556248 ,-93852159536, 18958733660.8 ,19147118786,18225000000, 188385125.200001 ,922118786
4500,5,,96044892064,137693201, 697.528210299941 ,-95907198863, 19346671613.8 ,19734176252,18225000000, 387504638.200001 ,1509176252
5000,1,,125250000000,15750000000, 7.95238095238095 ,-109500000000,40800000000,31437500000,25000000000,-9362500000,6437500000
5000,2,,125650000000,2109375000, 59.5674074074074 ,-123540625000,27239375000,25687500000,25000000000,-1551875000,687500000
5000,3,,126350000000,408203125, 309.527272727273 ,-125941796875,25678203125,25579687500,25000000000,-98515625,579687500
5000,4,,128255123840,196686177, 652.080007839087 ,-128058437663,25847710945,26086241050,25000000000,238530105,1086241050
