M_size B_size W D T_attendu T_simul 
2000 500 8036000000 141750000 715750000 656500000 
2000 250 8052000000 32062500 607205357.142857 611062500 
2000 100 8091000000 17190000 595118571.428571 615250000 
3000 500 27099000000 162250000 2097892857.14286 2071750000 
3000 250 27121750000 52312500 1989580357.14286 2014062500 
3000 100 27279000000 37290000 1985790000 2039050000 
4000 500 64208000000 190750000 4777035714.28571 4756250000 
4000 250 64242250000 80562500 4669294642.85714 4732625000 
4000 100 64639000000 65390000 4682461428.57143 4789020000 
5000 500 125375000000 227250000 9182607142.85714 9209250000 
5000 250 125484375000 116812500 9079982142.85714 9196812500 
