M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
2000 ; 500 ; 1100.64241629821 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 1481083333.33333 ; 1408500000 ; 1333333333.33333 ; -72583333.3333299 ; 75166666.6666667 
2000 ; 250 ; 1100.64241629821 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 1374062500 ; 1374437500 ; 1333333333.33333 ; 375000 ; 41104166.6666667 
2000 ; 100 ; 1100.64241629821 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 1365690000 ; 1388280000 ; 1333333333.33333 ; 22590000 ; 54946666.6666667 
3000 ; 500 ; 1650.96362444731 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 4678750000 ; 4587500000 ; 4500000000 ; -91250000 ; 87500000 
3000 ; 250 ; 1650.96362444731 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 4572604166.66667 ; 4599750000 ; 4500000000 ; 27145833.3333302 ; 99750000 
3000 ; 100 ; 1650.96362444731 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 4583790000 ; 4648090000 ; 4500000000 ; 64300000 ; 148090000 
4000 ; 500 ; 2201.28483259642 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 10892083333.3333 ; 10869750000 ; 10666666666.6667 ; -22333333.3332996 ; 203083333.333334 
4000 ; 250 ; 2201.28483259642 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 10787604166.6667 ; 10856687500 ; 10666666666.6667 ; 69083333.3332996 ; 190020833.333334 
4000 ; 100 ; 2201.28483259642 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 10838556666.6667 ; 10975220000 ; 10666666666.6667 ; 136663333.3333 ; 308553333.333334 
5000 ; 500 ; 2751.60604074552 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 21123083333.3333 ; 21111750000 ; 20833333333.3333 ; -11333333.3333015 ; 278416666.666668 
5000 ; 250 ; 2751.60604074552 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 21030875000 ; 21162375000 ; 20833333333.3333 ; 131500000 ; 329041666.666668 
