M_size B_size W D T_attendu T_simul 
2000 500 8036000000 141750000 1481083333.33333 1408500000 
2000 250 8052000000 32062500 1374062500 1374437500 
2000 100 8091000000 17190000 1365690000 1388280000 
3000 500 27099000000 162250000 4678750000 4587500000 
3000 250 27121750000 52312500 4572604166.66667 4599750000 
3000 100 27279000000 37290000 4583790000 4648090000 
4000 500 64208000000 190750000 10892083333.3333 10869750000 
4000 250 64242250000 80562500 10787604166.6667 10856687500 
4000 100 64639000000 65390000 10838556666.6667 10975220000 
5000 500 125375000000 227250000 21123083333.3333 21111750000 
5000 250 125484375000 116812500 21030875000 21162375000 
