M_size B_size W D T_attendu T_simul 
1000 50 1023875000 4172500 106560000 111970000 
1000 100 1015000000 5090000 106590000 109980000 
1000 200 1010000000 12160000 113160000 112120000 
1000 250 1009000000 19812500 120712500 117437500 
1000 500 1007000000 129250000 229950000 131750000 
2000 500 8036000000 141750000 945350000 907250000 
2000 250 8052000000 32062500 837262500 841312500 
2000 100 8091000000 17190000 826290000 847520000 
3000 500 27099000000 162250000 2872150000 2824500000 
3000 250 27121750000 52312500 2764487500 2791625000 
3000 100 27279000000 37290000 2765190000 2822420000 
4000 500 64208000000 190750000 6611550000 6615000000 
4000 250 64242250000 80562500 6504787500 6570875000 
4000 100 64639000000 65390000 6529290000 6646560000 
5000 500 125375000000 227250000 12764750000 12753250000 
5000 250 125484375000 116812500 12665250000 12788375000 
