M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
1000 ; 500 ; 629.960524947437 ; 1007000000;129250000; 7.79110251450677 ; -877750000 ; 381000000 ; 258000000 ; 250000000 ; -123000000 ; 8000000 
1000 ; 250 ; 629.960524947437 ; 1009000000;19812500; 50.9274447949527 ; -989187500 ; 272062500 ; 259312500 ; 250000000 ; -12750000 ; 9312500 
1000 ; 200 ; 629.960524947437 ; 1010000000;12160000; 83.0592105263158 ; -997840000 ; 264660000 ; 262840000 ; 250000000 ; -1820000 ; 12840000 
1000 ; 100 ; 629.960524947437 ; 1015000000;5090000; 199.410609037328 ; -1009910000 ; 258840000 ; 261880000 ; 250000000 ; 3040000 ; 11880000 
1000 ; 50 ; 629.960524947437 ; 1023875000;4172500; 245.38645895746 ; -1019702500 ; 260141250 ; 266015000 ; 250000000 ; 5873750 ; 16015000 
1500 ; 500 ; 944.940787421155 ; 3393000000;134500000; 25.2267657992565 ; -3258500000 ; 982750000 ; 894250000 ; 843750000 ; -88500000 ; 50500000 
1500 ; 250 ; 944.940787421155 ; 3399750000;24937500; 136.330827067669 ; -3374812500 ; 874875000 ; 866625000 ; 843750000 ; -8250000 ; 22875000 
1500 ; 100 ; 944.940787421155 ; 3415000000;10140000; 336.785009861933 ; -3404860000 ; 863890000 ; 874290000 ; 843750000 ; 10400000 ; 30540000 
1500 ; 50 ; 944.940787421155 ; 3449250000;9197500; 375.02038597445 ; -3440052500 ; 871510000 ; 888912500 ; 843750000 ; 17402500 ; 45162500 
2000 ; 500 ; 1259.92104989487 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 2150750000 ; 2037500000 ; 2000000000 ; -113250000 ; 37500000 
2000 ; 250 ; 1259.92104989487 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 2045062500 ; 2043437500 ; 2000000000 ; -1625000 ; 43437500 
2000 ; 100 ; 1259.92104989487 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 2039940000 ; 2062920000 ; 2000000000 ; 22980000 ; 62920000 
2000 ; 50 ; 1259.92104989487 ; 8169875000;16222500; 503.61380798274 ; -8153652500 ; 2058691250 ; 2097172500 ; 2000000000 ; 38481250 ; 97172500 
2500 ; 500 ; 1574.90131236859 ; 15687500000;151000000; 103.890728476821 ; -15536500000 ; 4072875000 ; 4043250000 ; 3906250000 ; -29625000 ; 137000000 
2500 ; 250 ; 1574.90131236859 ; 15718750000;41187500; 381.638846737481 ; -15677562500 ; 3970875000 ; 3980437500 ; 3906250000 ; 9562500 ; 74187500 
2500 ; 100 ; 1574.90131236859 ; 15784500000;26240000; 601.543445121951 ; -15758260000 ; 3972365000 ; 4014360000 ; 3906250000 ; 41995000 ; 108110000 
2500 ; 50 ; 1574.90131236859 ; 15950750000;25247500; 631.775423309239 ; -15925502500 ; 4012935000 ; 4085032500 ; 3906250000 ; 72097500 ; 178782500 
3000 ; 500 ; 1889.88157484231 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 6937000000 ; 6841500000 ; 6750000000 ; -95500000 ; 91500000 
3000 ; 250 ; 1889.88157484231 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 6832750000 ; 6856750000 ; 6750000000 ; 24000000 ; 106750000 
3000 ; 100 ; 1889.88157484231 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 6857040000 ; 6926480000 ; 6750000000 ; 69440000 ; 176480000 
4000 ; 500 ; 2519.84209978975 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 16242750000 ; 16176750000 ; 16000000000 ; -66000000 ; 176750000 
4000 ; 250 ; 2519.84209978975 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 16141125000 ; 16208000000 ; 16000000000 ; 66875000 ; 208000000 
4000 ; 100 ; 2519.84209978975 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 16225140000 ; 16379020000 ; 16000000000 ; 153880000 ; 379020000 
5000 ; 500 ; 3149.80262473718 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 31571000000 ; 31545000000 ; 31250000000 ; -26000000 ; 295000000 
5000 ; 250 ; 3149.80262473718 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 31487906250 ; 31620750000 ; 31250000000 ; 132843750 ; 370750000 
