M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
1000 ; 50 ; 464.158883361278 ; 1023875000;4172500; 245.38645895746 ; -1019702500 ; 106560000 ; 111970000 ; 100000000 ; 5410000 ; 11970000 
1000 ; 100 ; 464.158883361278 ; 1015000000;5090000; 199.410609037328 ; -1009910000 ; 106590000 ; 109980000 ; 100000000 ; 3390000 ; 9980000 
1000 ; 200 ; 464.158883361278 ; 1010000000;12160000; 83.0592105263158 ; -997840000 ; 113160000 ; 112120000 ; 100000000 ; -1040000 ; 12120000 
1000 ; 250 ; 464.158883361278 ; 1009000000;19812500; 50.9274447949527 ; -989187500 ; 120712500 ; 117437500 ; 100000000 ; -3275000 ; 17437500 
1000 ; 500 ; 464.158883361278 ; 1007000000;129250000; 7.79110251450677 ; -877750000 ; 229950000 ; 131750000 ; 100000000 ; -98200000 ; 31750000 
2000 ; 500 ; 928.317766722556 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 945350000 ; 907250000 ; 800000000 ; -38100000 ; 107250000 
2000 ; 250 ; 928.317766722556 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 837262500 ; 841312500 ; 800000000 ; 4050000 ; 41312500 
2000 ; 100 ; 928.317766722556 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 826290000 ; 847520000 ; 800000000 ; 21230000 ; 47520000 
3000 ; 500 ; 1392.47665008383 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 2872150000 ; 2824500000 ; 2700000000 ; -47650000 ; 124500000 
3000 ; 250 ; 1392.47665008383 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 2764487500 ; 2791625000 ; 2700000000 ; 27137500 ; 91625000 
3000 ; 100 ; 1392.47665008383 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 2765190000 ; 2822420000 ; 2700000000 ; 57230000 ; 122420000 
4000 ; 500 ; 1856.63553344511 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 6611550000 ; 6615000000 ; 6400000000 ; 3450000 ; 215000000 
4000 ; 250 ; 1856.63553344511 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 6504787500 ; 6570875000 ; 6400000000 ; 66087500 ; 170875000 
4000 ; 100 ; 1856.63553344511 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 6529290000 ; 6646560000 ; 6400000000 ; 117270000 ; 246560000 
5000 ; 500 ; 2320.79441680639 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 12764750000 ; 12753250000 ; 12500000000 ; -11500000 ; 253250000 
5000 ; 250 ; 2320.79441680639 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 12665250000 ; 12788375000 ; 12500000000 ; 123125000 ; 288375000 
