M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
1000 ; 500 ; 500 ; 1007000000;129250000; 7.79110251450677 ; -877750000 ; 255125000 ; 131750000 ; 125000000 ; -123375000 ; 6750000 
1000 ; 250 ; 500 ; 1009000000;19812500; 50.9274447949527 ; -989187500 ; 145937500 ; 133375000 ; 125000000 ; -12562500 ; 8375000 
1000 ; 200 ; 500 ; 1010000000;12160000; 83.0592105263158 ; -997840000 ; 138410000 ; 136400000 ; 125000000 ; -2010000 ; 11400000 
1000 ; 100 ; 500 ; 1015000000;5090000; 199.410609037328 ; -1009910000 ; 131965000 ; 135410000 ; 125000000 ; 3445000 ; 10410000 
1000 ; 50 ; 500 ; 1023875000;4172500; 245.38645895746 ; -1019702500 ; 132156875 ; 137747500 ; 125000000 ; 5590625 ; 12747500 
2000 ; 500 ; 1000 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 1146250000 ; 1034250000 ; 1000000000 ; -112000000 ; 34250000 
2000 ; 250 ; 1000 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 1038562500 ; 1039375000 ; 1000000000 ; 812500 ; 39375000 
2000 ; 100 ; 1000 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 1028565000 ; 1050360000 ; 1000000000 ; 21795000 ; 50360000 
3000 ; 500 ; 1500 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 3549625000 ; 3455500000 ; 3375000000 ; -94125000 ; 80500000 
3000 ; 250 ; 1500 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 3442531250 ; 3469500000 ; 3375000000 ; 26968750 ; 94500000 
3000 ; 100 ; 1500 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 3447165000 ; 3507450000 ; 3375000000 ; 60285000 ; 132450000 
4000 ; 500 ; 2000 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 8216750000 ; 8159000000 ; 8000000000 ; -57750000 ; 159000000 
4000 ; 250 ; 2000 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 8110843750 ; 8178187500 ; 8000000000 ; 67343750 ; 178187500 
4000 ; 100 ; 2000 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 8145265000 ; 8270900000 ; 8000000000 ; 125635000 ; 270900000 
5000 ; 500 ; 2500 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 15899125000 ; 15885250000 ; 15625000000 ; -13875000 ; 260250000 
5000 ; 250 ; 2500 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 15802359375 ; 15929812500 ; 15625000000 ; 127453125 ; 304812500 
