M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
2000 ; 500 ; 829.826533366243 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 715750000 ; 656500000 ; 571428571.428571 ; -59250000 ; 85071428.5714285 
2000 ; 250 ; 829.826533366243 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 607205357.142857 ; 611062500 ; 571428571.428571 ; 3857142.85714304 ; 39633928.5714285 
2000 ; 100 ; 829.826533366243 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 595118571.428571 ; 615250000 ; 571428571.428571 ; 20131428.571429 ; 43821428.5714285 
3000 ; 500 ; 1244.73980004937 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 2097892857.14286 ; 2071750000 ; 1928571428.57143 ; -26142857.1428599 ; 143178571.428571 
3000 ; 250 ; 1244.73980004937 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 1989580357.14286 ; 2014062500 ; 1928571428.57143 ; 24482142.8571401 ; 85491071.4285715 
3000 ; 100 ; 1244.73980004937 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 1985790000 ; 2039050000 ; 1928571428.57143 ; 53260000 ; 110478571.428571 
4000 ; 500 ; 1659.65306673249 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 4777035714.28571 ; 4756250000 ; 4571428571.42857 ; -20785714.2857103 ; 184821428.571428 
4000 ; 250 ; 1659.65306673249 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 4669294642.85714 ; 4732625000 ; 4571428571.42857 ; 63330357.1428604 ; 161196428.571428 
4000 ; 100 ; 1659.65306673249 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 4682461428.57143 ; 4789020000 ; 4571428571.42857 ; 106558571.42857 ; 217591428.571428 
5000 ; 500 ; 2074.56633341561 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 9182607142.85714 ; 9209250000 ; 8928571428.57143 ; 26642857.1428604 ; 280678571.428572 
5000 ; 250 ; 2074.56633341561 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 9079982142.85714 ; 9196812500 ; 8928571428.57143 ; 116830357.14286 ; 268241071.428572 
