M_size B_size W D T_attendu T_simul 
1000 500 1007000000 129250000 255125000 131750000 
1000 250 1009000000 19812500 145937500 133375000 
1000 200 1010000000 12160000 138410000 136400000 
1000 100 1015000000 5090000 131965000 135410000 
1000 50 1023875000 4172500 132156875 137747500 
2000 500 8036000000 141750000 1146250000 1034250000 
2000 250 8052000000 32062500 1038562500 1039375000 
2000 100 8091000000 17190000 1028565000 1050360000 
3000 500 27099000000 162250000 3549625000 3455500000 
3000 250 27121750000 52312500 3442531250 3469500000 
3000 100 27279000000 37290000 3447165000 3507450000 
4000 500 64208000000 190750000 8216750000 8159000000 
4000 250 64242250000 80562500 8110843750 8178187500 
4000 100 64639000000 65390000 8145265000 8270900000 
5000 500 125375000000 227250000 15899125000 15885250000 
5000 250 125484375000 116812500 15802359375 15929812500 
