M_size ; B_size ; n*(1/p)^(1/3) ; W ; D ; W/D ; D-W ; T_attendu; T_simul ; T_Sequentiel ; T_simul - T_attendu  ; T_Simul - T_Sequentiel 
1000 ; 500 ; 584.803547642573 ; 1007000000;129250000; 7.79110251450677 ; -877750000 ; 330650000 ; 257250000 ; 200000000 ; -73400000 ; 57250000 
1000 ; 250 ; 584.803547642573 ; 1009000000;19812500; 50.9274447949527 ; -989187500 ; 221612500 ; 211625000 ; 200000000 ; -9987500 ; 11625000 
1000 ; 100 ; 584.803547642573 ; 1015000000;5090000; 199.410609037328 ; -1009910000 ; 208090000 ; 211420000 ; 200000000 ; 3330000 ; 11420000 
2000 ; 500 ; 1169.60709528515 ; 8036000000;141750000; 56.6913580246914 ; -7894250000 ; 1748950000 ; 1659500000 ; 1600000000 ; -89450000 ; 59500000 
2000 ; 250 ; 1169.60709528515 ; 8052000000;32062500; 251.134502923977 ; -8019937500 ; 1642462500 ; 1642375000 ; 1600000000 ; -87500 ; 42375000 
2000 ; 100 ; 1169.60709528515 ; 8091000000;17190000; 470.680628272251 ; -8073810000 ; 1635390000 ; 1658220000 ; 1600000000 ; 22830000 ; 58220000 
3000 ; 500 ; 1754.41064292772 ; 27099000000;162250000; 167.020030816641 ; -26936750000 ; 5582050000 ; 5561500000 ; 5400000000 ; -20550000 ; 161500000 
3000 ; 250 ; 1754.41064292772 ; 27121750000;52312500; 518.456391875747 ; -27069437500 ; 5476662500 ; 5501937500 ; 5400000000 ; 25275000 ; 101937500 
3000 ; 100 ; 1754.41064292772 ; 27279000000;37290000; 731.536604987932 ; -27241710000 ; 5493090000 ; 5559590000 ; 5400000000 ; 66500000 ; 159590000 
4000 ; 500 ; 2339.21419057029 ; 64208000000;190750000; 336.608125819135 ; -64017250000 ; 13032350000 ; 12994750000 ; 12800000000 ; -37600000 ; 194750000 
4000 ; 250 ; 2339.21419057029 ; 64242250000;80562500; 797.421256788208 ; -64161687500 ; 12929012500 ; 12998187500 ; 12800000000 ; 69175000 ; 198187500 
4000 ; 100 ; 2339.21419057029 ; 64639000000;65390000; 988.515063465362 ; -64573610000 ; 12993190000 ; 13138160000 ; 12800000000 ; 144970000 ; 338160000 
5000 ; 500 ; 2924.01773821287 ; 125375000000;227250000; 551.705170517052 ; -125147750000 ; 25302250000 ; 25286500000 ; 25000000000 ; -15750000 ; 286500000 
5000 ; 250 ; 2924.01773821287 ; 125484375000;116812500; 1074.23756019262 ; -125367562500 ; 25213687500 ; 25348000000 ; 25000000000 ; 134312500 ; 348000000 
