#using seed 0.049012
# Work:9321255, depth:282845, work/p+depth:574134.21875
#PROCESSORS: 32, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	100	22676	0	432921	32	9321255	100	2	200                              	48914	0	9321255	0
0.5	100	22533	0	432015	32	9321255	100	2	200                              	49346	0	9321255	0
0.5	100	23878	0	440419	32	9321255	100	2	200                              	48790	0	9321255	0
0.5	100	21793	0	427391	32	9321255	100	2	200                              	49294	0	9321255	0
0.5	100	24294	0	443019	32	9321255	100	2	200                              	48897	0	9321255	0
0.5	100	26002	0	453706	32	9321255	100	2	200                              	47576	0	9321255	0
0.5	100	23716	0	439408	32	9321255	100	2	200                              	48574	0	9321255	0
0.5	100	21111	0	423133	32	9321255	100	2	200                              	48361	0	9321255	0
0.5	100	26836	0	458917	32	9321255	100	2	200                              	48419	0	9321255	0
0.5	100	28678	0	470421	32	9321255	100	2	200                              	48963	0	9321255	0
0.5	100	23769	0	439740	32	9321255	100	2	200                              	48313	0	9321255	0
0.5	100	23145	0	435848	32	9321255	100	2	200                              	48544	0	9321255	0
0.5	100	23890	0	440501	32	9321255	100	2	200                              	49768	0	9321255	0
0.5	100	24482	0	444201	32	9321255	100	2	200                              	48561	0	9321255	0
0.5	100	21232	0	423895	32	9321255	100	2	200                              	48582	0	9321255	0
0.5	100	26094	0	454268	32	9321255	100	2	200                              	49511	0	9321255	0
0.5	100	21746	0	427082	32	9321255	100	2	200                              	48280	0	9321255	0
0.5	100	20151	0	417130	32	9321255	100	2	200                              	45058	0	9321255	0
0.5	100	22997	0	434920	32	9321255	100	2	200                              	48038	0	9321255	0
0.5	100	21274	0	424161	32	9321255	100	2	200                              	45164	0	9321255	0
0.5	100	21967	0	428472	32	9321255	100	2	200                              	48341	0	9321255	0
0.5	100	21343	0	424585	32	9321255	100	2	200                              	48286	0	9321255	0
0.5	100	22330	0	430742	32	9321255	100	2	200                              	47722	0	9321255	0
0.5	100	26413	0	456272	32	9321255	100	2	200                              	45004	0	9321255	0
