#using seed 0.044574
# Work:10581248, depth:844030, work/p+depth:1174694.0
#PROCESSORS: 32, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	100	83984	0	855468	32	10581248	100	2	200                              	73004	0	10581248	0
0.5	100	83930	0	855118	32	10581248	100	2	200                              	72781	0	10581248	0
0.5	100	86094	0	868658	32	10581248	100	2	200                              	69367	0	10581248	0
0.5	100	83791	0	854251	32	10581248	100	2	200                              	72879	0	10581248	0
0.5	100	83980	0	855451	32	10581248	100	2	200                              	72783	0	10581248	0
0.5	100	84434	0	858269	32	10581248	100	2	200                              	72200	0	10581248	0
0.5	100	83443	0	852068	32	10581248	100	2	200                              	71989	0	10581248	0
0.5	100	84168	0	856623	32	10581248	100	2	200                              	71046	0	10581248	0
0.5	100	85783	0	866705	32	10581248	100	2	200                              	70179	0	10581248	0
0.5	100	84974	0	861647	32	10581248	100	2	200                              	71633	0	10581248	0
0.5	100	83818	0	854433	32	10581248	100	2	200                              	72487	0	10581248	0
0.5	100	83566	0	852852	32	10581248	100	2	200                              	73730	0	10581248	0
0.5	100	85704	0	866208	32	10581248	100	2	200                              	69707	0	10581248	0
0.5	100	84877	0	861046	32	10581248	100	2	200                              	67273	0	10581248	0
0.5	100	83482	0	852327	32	10581248	100	2	200                              	71104	0	10581248	0
0.5	100	86047	0	868371	32	10581248	100	2	200                              	72830	0	10581248	0
0.5	100	84426	0	858213	32	10581248	100	2	200                              	72342	0	10581248	0
0.5	100	83204	0	850595	32	10581248	100	2	200                              	72983	0	10581248	0
0.5	100	85901	0	867444	32	10581248	100	2	200                              	70082	0	10581248	0
0.5	100	83831	0	854490	32	10581248	100	2	200                              	71962	0	10581248	0
0.5	100	83347	0	851468	32	10581248	100	2	200                              	72107	0	10581248	0
0.5	100	83642	0	853296	32	10581248	100	2	200                              	72358	0	10581248	0
0.5	100	83401	0	851814	32	10581248	100	2	200                              	72817	0	10581248	0
0.5	100	83813	0	854390	32	10581248	100	2	200                              	70691	0	10581248	0
0.5	100	84275	0	857284	32	10581248	100	2	200                              	71504	0	10581248	0
0.5	100	85312	0	863764	32	10581248	100	2	200                              	70234	0	10581248	0
0.5	100	86158	0	869066	32	10581248	100	2	200                              	61779	0	10581248	0
0.5	100	84611	0	859383	32	10581248	100	2	200                              	72241	0	10581248	0
0.5	100	83262	0	850966	32	10581248	100	2	200                              	72046	0	10581248	0
0.5	100	86096	0	868648	32	10581248	100	2	200                              	73067	0	10581248	0
0.5	100	84482	0	858577	32	10581248	100	2	200                              	73093	0	10581248	0
0.5	100	85017	0	861922	32	10581248	100	2	200                              	73190	0	10581248	0
0.5	100	83453	0	852134	32	10581248	100	2	200                              	72402	0	10581248	0
0.5	100	83444	0	852090	32	10581248	100	2	200                              	72828	0	10581248	0
0.5	100	83876	0	854803	32	10581248	100	2	200                              	70415	0	10581248	0
0.5	100	85004	0	861832	32	10581248	100	2	200                              	71156	0	10581248	0
0.5	100	84328	0	857598	32	10581248	100	2	200                              	64676	0	10581248	0
0.5	100	83811	0	854379	32	10581248	100	2	200                              	70468	0	10581248	0
0.5	100	84502	0	858695	32	10581248	100	2	200                              	72772	0	10581248	0
0.5	100	84140	0	856415	32	10581248	100	2	200                              	69311	0	10581248	0
0.5	100	84443	0	858326	32	10581248	100	2	200                              	71150	0	10581248	0
0.5	100	83443	0	852091	32	10581248	100	2	200                              	71782	0	10581248	0
0.5	100	84807	0	860617	32	10581248	100	2	200                              	72287	0	10581248	0
0.5	100	85220	0	863202	32	10581248	100	2	200                              	70225	0	10581248	0
0.5	100	83955	0	855271	32	10581248	100	2	200                              	70022	0	10581248	0
0.5	100	86368	0	870344	32	10581248	100	2	200                              	58445	0	10581248	0
0.5	100	83557	0	852797	32	10581248	100	2	200                              	72306	0	10581248	0
0.5	100	83497	0	852405	32	10581248	100	2	200                              	70392	0	10581248	0
0.5	100	83348	0	851478	32	10581248	100	2	200                              	71112	0	10581248	0
0.5	100	84753	0	860258	32	10581248	100	2	200                              	72283	0	10581248	0
0.5	100	83316	0	851292	32	10581248	100	2	200                              	72196	0	10581248	0
0.5	100	84256	0	857154	32	10581248	100	2	200                              	72763	0	10581248	0
0.5	100	85531	0	865141	32	10581248	100	2	200                              	71755	0	10581248	0
0.5	100	84133	0	856382	32	10581248	100	2	200                              	71626	0	10581248	0
0.5	100	85360	0	864065	32	10581248	100	2	200                              	71715	0	10581248	0
0.5	100	85663	0	865943	32	10581248	100	2	200                              	72387	0	10581248	0
0.5	100	85438	0	864542	32	10581248	100	2	200                              	65555	0	10581248	0
0.5	100	83791	0	854242	32	10581248	100	2	200                              	72694	0	10581248	0
0.5	100	83976	0	855400	32	10581248	100	2	200                              	72808	0	10581248	0
0.5	100	84750	0	860233	32	10581248	100	2	200                              	72727	0	10581248	0
0.5	100	83525	0	852606	32	10581248	100	2	200                              	72428	0	10581248	0
0.5	100	86255	0	869649	32	10581248	100	2	200                              	71859	0	10581248	0
0.5	100	84656	0	859652	32	10581248	100	2	200                              	71856	0	10581248	0
0.5	100	84262	0	857203	32	10581248	100	2	200                              	72633	0	10581248	0
0.5	100	85509	0	864972	32	10581248	100	2	200                              	70985	0	10581248	0
0.5	100	83833	0	854518	32	10581248	100	2	200                              	72913	0	10581248	0
0.5	100	85494	0	864902	32	10581248	100	2	200                              	72971	0	10581248	0
0.5	100	84252	0	857129	32	10581248	100	2	200                              	71800	0	10581248	0
0.5	100	84223	0	856937	32	10581248	100	2	200                              	72901	0	10581248	0
0.5	100	85414	0	864402	32	10581248	100	2	200                              	73386	0	10581248	0
0.5	100	84309	0	857495	32	10581248	100	2	200                              	70347	0	10581248	0
0.5	100	83559	0	852804	32	10581248	100	2	200                              	72368	0	10581248	0
0.5	100	83699	0	853676	32	10581248	100	2	200                              	71753	0	10581248	0
0.5	100	84238	0	857029	32	10581248	100	2	200                              	73273	0	10581248	0
0.5	100	84266	0	857227	32	10581248	100	2	200                              	72162	0	10581248	0
0.5	100	86269	0	869756	32	10581248	100	2	200                              	69918	0	10581248	0
0.5	100	84391	0	858006	32	10581248	100	2	200                              	69106	0	10581248	0
0.5	100	84218	0	856920	32	10581248	100	2	200                              	73093	0	10581248	0
0.5	100	86071	0	868516	32	10581248	100	2	200                              	59024	0	10581248	0
0.5	100	85189	0	862984	32	10581248	100	2	200                              	72124	0	10581248	0
0.5	100	84388	0	857984	32	10581248	100	2	200                              	54766	0	10581248	0
0.5	100	83346	0	851478	32	10581248	100	2	200                              	71950	0	10581248	0
0.5	100	83942	0	855197	32	10581248	100	2	200                              	70027	0	10581248	0
0.5	100	84019	0	855674	32	10581248	100	2	200                              	73018	0	10581248	0
0.5	100	84765	0	860338	32	10581248	100	2	200                              	73206	0	10581248	0
0.5	100	84905	0	861237	32	10581248	100	2	200                              	72122	0	10581248	0
0.5	100	84187	0	856750	32	10581248	100	2	200                              	71091	0	10581248	0
0.5	100	85082	0	862321	32	10581248	100	2	200                              	70595	0	10581248	0
0.5	100	83456	0	852164	32	10581248	100	2	200                              	71730	0	10581248	0
0.5	100	83487	0	852350	32	10581248	100	2	200                              	73086	0	10581248	0
0.5	100	86311	0	870003	32	10581248	100	2	200                              	71392	0	10581248	0
0.5	100	83210	0	850629	32	10581248	100	2	200                              	60604	0	10581248	0
0.5	100	85585	0	865468	32	10581248	100	2	200                              	61379	0	10581248	0
0.5	100	85407	0	864366	32	10581248	100	2	200                              	60349	0	10581248	0
0.5	100	84520	0	858825	32	10581248	100	2	200                              	73010	0	10581248	0
0.5	100	83696	0	853646	32	10581248	100	2	200                              	71914	0	10581248	0
0.5	100	85018	0	861915	32	10581248	100	2	200                              	61734	0	10581248	0
0.5	100	84891	0	861144	32	10581248	100	2	200                              	61299	0	10581248	0
0.5	100	83511	0	852505	32	10581248	100	2	200                              	72512	0	10581248	0
0.5	100	83680	0	853557	32	10581248	100	2	200                              	65904	0	10581248	0
0.5	1100	10055	0	1020978	32	10581248	100	2	2200                              	63525	0	10581248	0
0.5	1100	8736	0	930076	32	10581248	100	2	2200                              	70720	0	10581248	0
0.5	1100	10089	0	1023221	32	10581248	100	2	2200                              	64529	0	10581248	0
0.5	1100	8859	0	938751	32	10581248	100	2	2200                              	72262	0	10581248	0
0.5	1100	9744	0	999388	32	10581248	100	2	2200                              	71692	0	10581248	0
0.5	1100	8881	0	940332	32	10581248	100	2	2200                              	58858	0	10581248	0
0.5	1100	10121	0	1025301	32	10581248	100	2	2200                              	69272	0	10581248	0
0.5	1100	8856	0	938258	32	10581248	100	2	2200                              	71160	0	10581248	0
0.5	1100	8808	0	935069	32	10581248	100	2	2200                              	62521	0	10581248	0
0.5	1100	8801	0	934921	32	10581248	100	2	2200                              	69342	0	10581248	0
0.5	1100	10122	0	1025342	32	10581248	100	2	2200                              	65178	0	10581248	0
0.5	1100	10914	0	1079955	32	10581248	100	2	2200                              	71899	0	10581248	0
0.5	1100	8960	0	945546	32	10581248	100	2	2200                              	68565	0	10581248	0
0.5	1100	8904	0	941593	32	10581248	100	2	2200                              	63774	0	10581248	0
0.5	1100	8678	0	926227	32	10581248	100	2	2200                              	63104	0	10581248	0
0.5	1100	9992	0	1016493	32	10581248	100	2	2200                              	67093	0	10581248	0
0.5	1100	8941	0	944312	32	10581248	100	2	2200                              	64457	0	10581248	0
0.5	1100	10260	0	1034787	32	10581248	100	2	2200                              	68687	0	10581248	0
0.5	1100	9905	0	1010362	32	10581248	100	2	2200                              	70778	0	10581248	0
0.5	1100	9911	0	1010720	32	10581248	100	2	2200                              	68767	0	10581248	0
0.5	1100	8779	0	933153	32	10581248	100	2	2200                              	69503	0	10581248	0
0.5	1100	10269	0	1035504	32	10581248	100	2	2200                              	69867	0	10581248	0
0.5	1100	8822	0	936053	32	10581248	100	2	2200                              	66711	0	10581248	0
0.5	1100	8863	0	938732	32	10581248	100	2	2200                              	58336	0	10581248	0
0.5	1100	8748	0	930802	32	10581248	100	2	2200                              	64219	0	10581248	0
0.5	1100	8763	0	931907	32	10581248	100	2	2200                              	69954	0	10581248	0
0.5	1100	8955	0	945182	32	10581248	100	2	2200                              	54147	0	10581248	0
0.5	1100	9995	0	1016668	32	10581248	100	2	2200                              	54639	0	10581248	0
0.5	1100	8751	0	931217	32	10581248	100	2	2200                              	70484	0	10581248	0
0.5	1100	8845	0	937782	32	10581248	100	2	2200                              	68031	0	10581248	0
0.5	1100	9019	0	949643	32	10581248	100	2	2200                              	69102	0	10581248	0
0.5	1100	10289	0	1036917	32	10581248	100	2	2200                              	68140	0	10581248	0
0.5	1100	9023	0	949871	32	10581248	100	2	2200                              	60148	0	10581248	0
0.5	1100	10761	0	1069254	32	10581248	100	2	2200                              	71138	0	10581248	0
0.5	1100	11058	0	1089801	32	10581248	100	2	2200                              	56925	0	10581248	0
0.5	1100	9053	0	951920	32	10581248	100	2	2200                              	50507	0	10581248	0
0.5	1100	8647	0	924215	32	10581248	100	2	2200                              	71266	0	10581248	0
0.5	1100	11400	0	1113311	32	10581248	100	2	2200                              	67542	0	10581248	0
0.5	1100	10456	0	1048472	32	10581248	100	2	2200                              	62829	0	10581248	0
0.5	1100	8938	0	944193	32	10581248	100	2	2200                              	66303	0	10581248	0
0.5	1100	8727	0	929460	32	10581248	100	2	2200                              	69156	0	10581248	0
0.5	1100	8859	0	938509	32	10581248	100	2	2200                              	61809	0	10581248	0
0.5	1100	8526	0	915712	32	10581248	100	2	2200                              	61846	0	10581248	0
0.5	1100	10489	0	1050624	32	10581248	100	2	2200                              	70538	0	10581248	0
0.5	1100	8891	0	940756	32	10581248	100	2	2200                              	70696	0	10581248	0
