#using seed 0.045155
#PROCESSORS: 4, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	10	37	0	25000175	4	100000000	100	2	20                              	133691082	0	233691082	0
0.5	10	12	0	25000048	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	22	0	25000100	4	100000000	100	2	20                              	124999881	0	224999881	0
0.5	10	28	0	25000125	4	100000000	100	2	20                              	131640428	0	231640428	0
0.5	10	19	0	25000083	4	100000000	100	2	20                              	99999906	0	199999906	0
0.5	10	30	0	25000140	4	100000000	100	2	20                              	132812265	0	232812265	0
0.5	10	14	0	25000058	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	34	0	25000160	4	100000000	100	2	20                              	124999739	0	224999739	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999974	0	199999974	0
0.5	10	24	0	25000110	4	100000000	100	2	20                              	126562335	0	226562335	0
0.5	10	27	0	25000120	4	100000000	100	2	20                              	131249819	0	231249819	0
0.5	10	22	0	25000095	4	100000000	100	2	20                              	131249852	0	231249852	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	15	0	25000061	4	100000000	100	2	20                              	124999925	0	224999925	0
0.5	10	40	0	25000186	4	100000000	100	2	20                              	131377875	0	231377875	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	20	0	25000086	4	100000000	100	2	20                              	131249864	0	231249864	0
0.5	10	33	0	25000151	4	100000000	100	2	20                              	124999761	0	224999761	0
0.5	10	26	0	25000120	4	100000000	100	2	20                              	132812341	0	232812341	0
0.5	10	10	0	25000038	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	35	0	25000161	4	100000000	100	2	20                              	131432866	0	231432866	0
0.5	10	18	0	25000078	4	100000000	100	2	20                              	99999916	0	199999916	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	13	0	25000055	4	100000000	100	2	20                              	99999949	0	199999949	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	14	0	25000058	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	69	0	25000336	4	100000000	100	2	20                              	132936333	0	232936333	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999974	0	199999974	0
0.5	10	17	0	25000071	4	100000000	100	2	20                              	124999906	0	224999906	0
0.5	10	18	0	25000075	4	100000000	100	2	20                              	131249866	0	231249866	0
0.5	10	18	0	25000080	4	100000000	100	2	20                              	124999878	0	224999878	0
0.5	10	14	0	25000060	4	100000000	100	2	20                              	99999949	0	199999949	0
0.5	10	40	0	25000185	4	100000000	100	2	20                              	145629423	0	245629423	0
0.5	10	36	0	25000166	4	100000000	100	2	20                              	139550488	0	239550488	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999969	0	199999969	0
0.5	10	50	0	25000240	4	100000000	100	2	20                              	126844343	0	226844343	0
0.5	10	22	0	25000096	4	100000000	100	2	20                              	126562369	0	226562369	0
0.5	10	18	0	25000080	4	100000000	100	2	20                              	131249868	0	231249868	0
0.5	10	34	0	25000155	4	100000000	100	2	20                              	135375659	0	235375659	0
0.5	10	10	0	25000040	4	100000000	100	2	20                              	99999979	0	199999979	0
0.5	10	59	0	25000280	4	100000000	100	2	20                              	145958083	0	245958083	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	13	0	25000055	4	100000000	100	2	20                              	99999959	0	199999959	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	43	0	25000205	4	100000000	100	2	20                              	132238398	0	232238398	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999969	0	199999969	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	22	0	25000100	4	100000000	100	2	20                              	124999849	0	224999849	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	38	0	25000175	4	100000000	100	2	20                              	125007390	0	225007390	0
0.5	10	26	0	25000115	4	100000000	100	2	20                              	132812264	0	232812264	0
0.5	10	16	0	25000066	4	100000000	100	2	20                              	124999885	0	224999885	0
0.5	10	13	0	25000053	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	14	0	25000060	4	100000000	100	2	20                              	99999949	0	199999949	0
0.5	10	14	0	25000058	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	17	0	25000073	4	100000000	100	2	20                              	99999926	0	199999926	0
0.5	10	22	0	25000100	4	100000000	100	2	20                              	136718612	0	236718612	0
0.5	10	37	0	25000170	4	100000000	100	2	20                              	134887351	0	234887351	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999974	0	199999974	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	13	0	25000053	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	43	0	25000205	4	100000000	100	2	20                              	127028769	0	227028769	0
0.5	10	17	0	25000071	4	100000000	100	2	20                              	124999906	0	224999906	0
0.5	10	27	0	25000120	4	100000000	100	2	20                              	139062319	0	239062319	0
0.5	10	23	0	25000105	4	100000000	100	2	20                              	126562321	0	226562321	0
0.5	10	12	0	25000052	4	100000000	100	2	20                              	99999978	0	199999978	0
0.5	10	64	0	25000309	4	100000000	100	2	20                              	137936556	0	237936556	0
0.5	10	14	0	25000058	4	100000000	100	2	20                              	99999946	0	199999946	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	32	0	25000145	4	100000000	100	2	20                              	131249741	0	231249741	0
0.5	10	23	0	25000100	4	100000000	100	2	20                              	131249837	0	231249837	0
0.5	10	25	0	25000115	4	100000000	100	2	20                              	131249762	0	231249762	0
0.5	10	64	0	25000309	4	100000000	100	2	20                              	125208163	0	225208163	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	16	0	25000070	4	100000000	100	2	20                              	99999939	0	199999939	0
0.5	10	10	0	25000038	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	20	0	25000090	4	100000000	100	2	20                              	99999914	0	199999914	0
0.5	10	10	0	25000040	4	100000000	100	2	20                              	99999979	0	199999979	0
0.5	10	11	0	25000043	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999974	0	199999974	0
0.5	10	55	0	25000266	4	100000000	100	2	20                              	132822174	0	232822174	0
0.5	10	36	0	25000165	4	100000000	100	2	20                              	133202859	0	233202859	0
0.5	10	34	0	25000160	4	100000000	100	2	20                              	134203908	0	234203908	0
0.5	10	15	0	25000060	4	100000000	100	2	20                              	124999905	0	224999905	0
0.5	10	14	0	25000058	4	100000000	100	2	20                              	99999926	0	199999926	0
0.5	10	10	0	25000038	4	100000000	100	2	20                              	99999966	0	199999966	0
0.5	10	34	0	25000160	4	100000000	100	2	20                              	143066025	0	243066025	0
0.5	10	11	0	25000045	4	100000000	100	2	20                              	99999974	0	199999974	0
0.5	10	18	0	25000078	4	100000000	100	2	20                              	99999916	0	199999916	0
0.5	10	40	0	25000186	4	100000000	100	2	20                              	141015249	0	241015249	0
0.5	10	17	0	25000073	4	100000000	100	2	20                              	99999926	0	199999926	0
0.5	10	21	0	25000090	4	100000000	100	2	20                              	131249832	0	231249832	0
0.5	10	13	0	25000055	4	100000000	100	2	20                              	99999949	0	199999949	0
0.5	10	68	0	25000326	4	100000000	100	2	20                              	135932599	0	235932599	0
0.5	10	45	0	25000211	4	100000000	100	2	20                              	125103449	0	225103449	0
0.5	10	9	0	25000033	4	100000000	100	2	20                              	99999976	0	199999976	0
0.5	10	12	0	25000048	4	100000000	100	2	20                              	99999956	0	199999956	0
0.5	10	22	0	25000095	4	100000000	100	2	20                              	139062320	0	239062320	0
0.5	110	9	0	25000358	4	100000000	100	2	220                              	99999726	0	199999726	0
0.5	110	43	0	25002201	4	100000000	100	2	220                              	144856633	0	244856633	0
0.5	110	61	0	25003237	4	100000000	100	2	220                              	125581163	0	225581163	0
0.5	110	10	0	25000440	4	100000000	100	2	220                              	99999754	0	199999754	0
0.5	110	13	0	25000592	4	100000000	100	2	220                              	99999658	0	199999658	0
0.5	110	12	0	25000523	4	100000000	100	2	220                              	99999506	0	199999506	0
0.5	110	30	0	25001485	4	100000000	100	2	220                              	125485617	0	225485617	0
0.5	110	9	0	25000358	4	100000000	100	2	220                              	99999726	0	199999726	0
0.5	110	9	0	25000358	4	100000000	100	2	220                              	99999726	0	199999726	0
0.5	110	15	0	25000660	4	100000000	100	2	220                              	124999039	0	224999039	0
0.5	110	62	0	25003300	4	100000000	100	2	220                              	141900412	0	241900412	0
