#using seed 0.041632
#PROCESSORS: 64, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	10	1867	0	156823	64	10000000	100	2	20                              	34888851	0	44888851	0
0.5	10	2490	0	157017	64	10000000	100	2	20                              	35802498	0	45802498	0
0.5	10	2354	0	156976	64	10000000	100	2	20                              	34968554	0	44968554	0
0.5	10	2111	0	156900	64	10000000	100	2	20                              	36006154	0	46006154	0
0.5	10	2391	0	156988	64	10000000	100	2	20                              	38295781	0	48295781	0
0.5	10	1976	0	156857	64	10000000	100	2	20                              	35403308	0	45403308	0
0.5	10	2020	0	156871	64	10000000	100	2	20                              	36782990	0	46782990	0
0.5	10	1875	0	156826	64	10000000	100	2	20                              	34893589	0	44893589	0
0.5	10	1874	0	156825	64	10000000	100	2	20                              	34760610	0	44760610	0
0.5	10	2199	0	156927	64	10000000	100	2	20                              	35053613	0	45053613	0
0.5	10	2697	0	157082	64	10000000	100	2	20                              	35733687	0	45733687	0
0.5	10	2194	0	156926	64	10000000	100	2	20                              	35561828	0	45561828	0
0.5	10	2209	0	156931	64	10000000	100	2	20                              	37266952	0	47266952	0
0.5	10	2206	0	156929	64	10000000	100	2	20                              	35857389	0	45857389	0
0.5	10	2242	0	156940	64	10000000	100	2	20                              	36526456	0	46526456	0
0.5	10	2145	0	156910	64	10000000	100	2	20                              	34665476	0	44665476	0
0.5	10	1897	0	156833	64	10000000	100	2	20                              	36927258	0	46927258	0
0.5	10	2217	0	156931	64	10000000	100	2	20                              	34906613	0	44906613	0
0.5	10	2605	0	157054	64	10000000	100	2	20                              	36222601	0	46222601	0
0.5	10	2314	0	156963	64	10000000	100	2	20                              	38072442	0	48072442	0
0.5	10	2186	0	156922	64	10000000	100	2	20                              	35994606	0	45994606	0
0.5	10	2398	0	156988	64	10000000	100	2	20                              	37890661	0	47890661	0
0.5	10	1977	0	156858	64	10000000	100	2	20                              	35544055	0	45544055	0
0.5	10	1919	0	156840	64	10000000	100	2	20                              	35549809	0	45549809	0
0.5	10	2083	0	156892	64	10000000	100	2	20                              	35961570	0	45961570	0
0.5	10	2509	0	157024	64	10000000	100	2	20                              	36946590	0	46946590	0
0.5	10	1774	0	156794	64	10000000	100	2	20                              	34401850	0	44401850	0
0.5	10	2323	0	156965	64	10000000	100	2	20                              	36275629	0	46275629	0
0.5	10	1936	0	156845	64	10000000	100	2	20                              	36366160	0	46366160	0
0.5	10	2111	0	156898	64	10000000	100	2	20                              	35372400	0	45372400	0
0.5	10	2074	0	156888	64	10000000	100	2	20                              	35320863	0	45320863	0
0.5	10	2373	0	156982	64	10000000	100	2	20                              	36427833	0	46427833	0
0.5	10	2227	0	156935	64	10000000	100	2	20                              	37926179	0	47926179	0
0.5	10	1953	0	156851	64	10000000	100	2	20                              	36072942	0	46072942	0
0.5	10	2257	0	156945	64	10000000	100	2	20                              	34775716	0	44775716	0
0.5	10	2165	0	156916	64	10000000	100	2	20                              	34803097	0	44803097	0
0.5	10	2621	0	157059	64	10000000	100	2	20                              	37826032	0	47826032	0
0.5	10	2004	0	156865	64	10000000	100	2	20                              	35827078	0	45827078	0
0.5	10	2709	0	157087	64	10000000	100	2	20                              	39357552	0	49357552	0
0.5	10	2033	0	156875	64	10000000	100	2	20                              	36749061	0	46749061	0
0.5	10	1861	0	156821	64	10000000	100	2	20                              	35484724	0	45484724	0
0.5	10	2312	0	156963	64	10000000	100	2	20                              	35243137	0	45243137	0
